time_s,bpm,ax,ay,az,gx,gy,gz,temp,motion,ts_ms
10.502,0,-0.004,0.001,1.108,-0.3,-0.2,0.8,26.2,0,2698
10.643,0,-0.003,0.001,1.112,-0.2,-0.2,0.9,26.2,0,2718
10.644,0,-0.001,-0.001,1.109,-0.2,-0.2,1.0,26.2,0,2728
10.645,0,-0.004,0.003,1.109,-0.3,-0.1,1.0,26.2,0,2738
10.646,0,-0.004,0.002,1.115,-0.2,-0.1,1.0,26.2,0,2748
10.647,0,-0.003,0.0,1.112,-0.2,-0.1,1.0,26.2,0,2758
10.648,0,-0.004,0.004,1.112,-0.2,-0.2,1.0,26.2,0,2768
10.649,0,-0.0,0.006,1.11,-0.2,-0.1,1.0,26.2,0,2778
10.650,0,-0.0,0.004,1.11,-0.2,-0.1,0.9,26.2,0,2788
10.651,0,-0.001,0.005,1.113,-0.2,-0.1,0.9,26.2,0,2798
10.652,0,0.001,0.004,1.113,-0.2,-0.1,0.9,26.2,0,2808
10.653,0,-0.004,0.007,1.112,-0.2,-0.1,0.8,26.2,0,2818
10.654,0,-0.002,0.003,1.109,-0.2,-0.2,0.8,26.2,0,2828
10.655,0,-0.004,0.003,1.112,-0.1,-0.2,0.8,26.2,0,2838
10.656,0,-0.003,0.002,1.112,-0.1,-0.2,0.9,26.2,0,2848
10.657,0,-0.003,0.003,1.11,-0.0,-0.1,0.9,26.2,0,2858
10.658,0,-0.001,0.002,1.111,-0.0,-0.1,0.8,26.2,0,2868
10.789,0,-0.002,0.002,1.109,-0.1,-0.2,0.8,26.2,0,2878
10.792,0,-0.004,0.001,1.109,-0.0,-0.2,0.8,26.2,0,2888
10.793,0,-0.001,-0.001,1.108,-0.1,-0.1,0.7,26.2,0,2898
10.794,0,-0.002,0.0,1.111,-0.0,-0.1,0.8,26.2,0,2908
10.794,0,-0.002,0.002,1.109,-0.1,-0.1,0.8,26.2,0,2918
10.795,0,0.001,0.002,1.111,-0.1,-0.2,0.8,26.2,0,2928
10.796,0,-0.001,0.006,1.112,-0.2,-0.2,0.9,26.2,0,2938
10.797,0,-0.003,0.004,1.109,-0.3,-0.2,0.7,26.2,0,2948
10.798,0,-0.003,0.007,1.112,-0.2,-0.2,0.8,26.2,0,2958
10.799,0,-0.002,0.006,1.112,-0.4,-0.2,0.9,26.2,0,2968
10.800,0,0.001,0.004,1.112,-0.3,-0.2,0.9,26.2,0,2978
10.801,0,-0.003,0.003,1.11,-0.4,-0.2,0.9,26.2,0,2988
10.802,0,-0.003,0.001,1.111,-0.3,-0.2,0.9,26.2,0,2998
10.803,0,0.0,0.002,1.11,-0.4,-0.2,0.9,26.2,0,3008
10.806,0,-0.001,0.004,1.111,-0.3,-0.2,0.9,26.2,0,3018
10.940,0,-0.002,0.005,1.113,-0.3,-0.2,0.9,26.2,0,3028
10.941,0,-0.002,0.008,1.11,-0.4,-0.2,0.9,26.2,0,3038
10.942,0,-0.0,0.004,1.111,-0.4,-0.2,0.8,26.2,0,3048
10.943,0,-0.002,0.004,1.111,-0.4,-0.2,0.7,26.2,0,3058
10.944,0,-0.001,0.004,1.111,-0.4,-0.2,0.7,26.2,0,3068
10.945,0,-0.001,0.002,1.112,-0.4,-0.2,0.7,26.2,0,3078
10.946,0,-0.0,0.007,1.112,-0.3,-0.2,0.6,26.2,0,3088
10.947,0,-0.004,0.006,1.111,-0.4,-0.2,0.6,26.2,0,3098
10.948,0,-0.003,0.004,1.113,-0.3,-0.3,0.7,26.2,0,3108
10.949,0,-0.003,0.001,1.112,-0.3,-0.2,0.7,26.2,0,3118
10.949,0,-0.001,0.001,1.11,-0.3,-0.1,0.7,26.2,0,3128
10.950,0,-0.005,0.004,1.11,-0.2,-0.3,0.6,26.2,0,3138
10.951,0,-0.002,0.002,1.108,-0.3,-0.3,0.6,26.2,0,3148
10.952,0,-0.002,0.003,1.109,-0.2,-0.2,0.6,26.2,0,3158
10.955,0,-0.003,0.003,1.111,-0.2,-0.2,0.7,26.2,0,3168
11.084,0,-0.002,0.004,1.112,-0.4,-0.2,0.7,26.2,0,3178
11.085,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3188
11.086,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3200
11.087,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3210
11.094,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3220
11.226,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3230
11.227,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3240
11.228,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3250
11.229,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3260
11.230,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3270
11.231,0,-0.0,0.005,1.116,-0.4,-0.2,0.7,26.2,0,3280
11.232,0,0.001,0.0,1.109,-0.2,-0.2,0.7,26.2,0,3292
11.233,0,-0.0,0.001,1.11,-0.2,-0.2,0.7,26.2,0,3298
11.234,0,-0.001,-0.0,1.112,-0.2,-0.2,0.7,26.2,0,3308
11.235,0,-0.002,0.002,1.109,-0.1,-0.2,0.7,26.2,0,3318
11.236,0,-0.001,-0.001,1.114,-0.2,-0.2,0.7,26.2,0,3328
11.236,0,-0.001,0.003,1.108,-0.3,-0.2,0.7,26.2,0,3338
11.237,0,-0.003,-0.0,1.108,-0.2,-0.1,0.7,26.2,0,3348
11.238,0,-0.004,-0.0,1.107,-0.2,-0.1,0.6,26.2,0,3358
11.239,0,-0.001,0.002,1.112,-0.2,-0.2,0.7,26.2,0,3368
11.240,0,0.001,0.001,1.11,-0.1,-0.1,0.7,26.2,0,3378
11.242,0,-0.001,0.003,1.108,-0.1,-0.1,0.7,26.2,0,3388
11.242,0,-0.001,0.002,1.107,-0.2,-0.1,0.7,26.2,0,3398
11.243,0,0.0,0.003,1.11,-0.3,-0.1,0.7,26.2,0,3408
11.244,0,-0.001,0.003,1.107,-0.2,-0.2,0.7,26.2,0,3418
11.245,0,-0.001,0.001,1.108,-0.2,-0.1,0.7,26.2,0,3428
11.246,0,-0.002,0.0,1.11,-0.2,-0.1,0.7,26.2,0,3438
11.249,0,-0.002,0.004,1.111,-0.2,-0.1,0.8,26.2,0,3448
11.377,0,-0.001,0.001,1.112,-0.1,-0.2,0.7,26.2,0,3458
11.378,0,-0.003,-0.0,1.11,-0.1,-0.1,0.8,26.2,0,3468
11.379,0,-0.003,0.0,1.108,-0.2,-0.2,0.8,26.2,0,3478
11.380,0,-0.001,0.001,1.111,-0.2,-0.2,0.8,26.2,0,3488
11.381,0,-0.001,0.001,1.112,-0.2,-0.1,0.8,26.2,0,3498
11.382,0,0.002,0.002,1.107,-0.3,-0.1,0.9,26.2,0,3508
11.382,0,-0.0,0.003,1.11,-0.3,-0.1,0.8,26.2,0,3518
11.383,0,0.0,0.002,1.112,-0.3,-0.1,0.8,26.2,0,3528
11.384,0,-0.0,-0.001,1.107,-0.3,-0.2,0.8,26.2,0,3538
11.385,0,-0.002,0.001,1.109,-0.2,-0.2,0.7,26.2,0,3548
11.386,0,-0.002,0.002,1.114,-0.2,-0.1,0.7,26.2,0,3558
11.387,0,-0.002,0.004,1.115,-0.2,-0.2,0.8,26.2,0,3568
11.388,0,0.001,0.002,1.114,-0.2,-0.1,0.7,26.2,0,3578
11.389,0,-0.003,0.002,1.113,-0.2,-0.2,0.8,26.2,0,3588
11.390,0,-0.002,0.002,1.112,-0.2,-0.2,0.8,26.2,0,3598
11.393,0,0.001,0.0,1.111,-0.0,-0.2,0.8,26.2,0,3608
11.523,0,-0.001,-0.003,1.108,0.0,-0.2,0.8,26.2,0,3618
11.524,0,-0.003,-0.0,1.109,-0.1,-0.2,0.9,26.2,0,3628
11.526,0,-0.002,0.003,1.11,-0.2,-0.2,0.9,26.2,0,3638
11.527,0,0.001,0.004,1.106,-0.3,-0.1,0.9,26.2,0,3648
11.528,0,-0.001,0.002,1.106,-0.4,-0.1,0.9,26.2,0,3658
11.529,0,-0.001,0.001,1.11,-0.3,-0.2,0.8,26.2,0,3668
11.529,0,0.001,0.002,1.113,-0.3,-0.1,0.7,26.2,0,3678
11.530,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3688
11.678,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3700
11.679,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3710
11.680,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3720
11.681,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3730
11.682,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3740
11.683,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3750
11.683,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3760
11.684,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3770
11.685,0,-0.002,0.002,1.109,-0.2,-0.2,0.7,26.2,0,3780
11.686,0,-0.002,0.001,1.11,-0.2,-0.3,0.8,26.2,0,3792
11.687,0,-0.002,0.001,1.11,-0.2,-0.3,0.8,26.2,0,3798
11.688,0,-0.001,0.004,1.111,-0.3,-0.1,0.7,26.2,0,3808
11.689,0,-0.001,0.005,1.113,-0.4,-0.2,0.7,26.2,0,3818
11.690,0,-0.001,0.002,1.111,-0.4,-0.2,0.7,26.2,0,3828
11.691,0,0.001,0.002,1.11,-0.4,-0.2,0.7,26.2,0,3838
11.692,0,-0.002,0.003,1.109,-0.3,-0.2,0.6,26.2,0,3848
11.693,0,-0.0,0.002,1.109,-0.2,-0.2,0.6,26.2,0,3858
11.694,0,-0.002,0.003,1.114,-0.2,-0.2,0.6,26.2,0,3868
11.698,0,-0.002,0.002,1.109,-0.2,-0.2,0.6,26.2,0,3878
11.839,0,-0.003,0.002,1.112,-0.2,-0.2,0.6,26.2,0,3888
11.840,0,-0.001,0.002,1.111,-0.1,-0.2,0.6,26.2,0,3898
11.841,0,-0.002,0.001,1.112,-0.2,-0.2,0.6,26.2,0,3908
11.843,0,-0.001,-0.0,1.11,-0.2,-0.2,0.6,26.2,0,3918
11.844,0,-0.003,0.001,1.111,-0.1,-0.1,0.7,26.2,0,3928
11.844,0,-0.003,-0.0,1.107,-0.1,-0.1,0.7,26.2,0,3938
11.845,0,-0.003,0.002,1.109,-0.1,-0.1,0.6,26.2,0,3948
11.846,0,-0.0,0.004,1.11,-0.2,-0.2,0.7,26.2,0,3958
11.847,0,0.001,0.001,1.11,-0.2,-0.2,0.6,26.2,0,3968
11.848,0,0.001,0.003,1.111,-0.2,-0.2,0.6,26.2,0,3978
11.849,0,0.0,0.002,1.112,-0.2,-0.2,0.6,26.2,0,3988
11.851,0,-0.001,-0.0,1.108,-0.2,-0.2,0.6,26.2,0,4008
11.851,0,-0.006,0.003,1.112,-0.2,-0.2,0.6,26.2,0,4018
11.852,0,-0.001,0.003,1.109,-0.3,-0.1,0.6,26.2,0,4028
11.853,0,-0.0,0.003,1.107,-0.3,-0.2,0.6,26.2,0,4038
11.854,0,-0.002,0.003,1.109,-0.3,-0.1,0.6,26.2,0,4048
11.855,0,-0.003,0.006,1.112,-0.3,-0.1,0.5,26.2,0,4058
