time_s,bpm,ax,ay,az,gx,gy,gz,temp,motion,ts_ms
2.867,0,-0.015,0.021,1.106,-0.0,0.0,-0.1,25.5,0,93538
2.870,0,-0.018,0.025,1.108,0.0,-0.0,-0.0,25.5,0,93548
2.871,0,-0.015,0.022,1.106,-0.1,-0.0,0.0,25.5,0,93558
2.874,0,-0.019,0.026,1.105,-0.1,-0.0,-0.0,25.5,0,93568
2.878,0,-0.017,0.023,1.106,-0.0,0.0,-0.1,25.5,0,93578
2.881,0,-0.017,0.024,1.108,0.0,0.0,-0.0,25.5,0,93588
2.883,0,-0.013,0.024,1.107,0.1,-0.0,-0.0,25.5,0,93598
2.885,0,-0.018,0.022,1.104,0.0,-0.0,-0.0,25.5,0,93608
2.886,0,-0.016,0.021,1.107,0.0,0.0,-0.1,25.5,0,93618
2.888,0,-0.016,0.024,1.109,0.0,-0.0,-0.1,25.5,0,93628
2.889,0,-0.016,0.022,1.107,0.1,-0.0,0.0,25.5,0,93638
2.891,0,-0.017,0.024,1.103,0.1,0.0,-0.1,25.5,0,93648
2.894,0,-0.014,0.024,1.11,0.0,0.0,-0.0,25.5,0,93658
2.896,0,-0.017,0.024,1.107,-0.0,-0.0,0.0,25.5,0,93668
2.899,0,-0.018,0.024,1.109,0.0,-0.0,-0.0,25.5,0,93678
2.901,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93688
2.902,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93700
2.904,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93710
2.905,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93720
2.908,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93730
2.912,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93740
2.916,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93750
2.918,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93760
2.920,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93770
2.922,0,-0.019,0.024,1.105,0.0,-0.1,-0.0,25.5,0,93780
2.925,0,-0.017,0.022,1.107,0.0,-0.0,-0.0,25.5,0,93792
2.931,0,-0.018,0.022,1.107,0.0,0.1,0.0,25.5,0,93798
2.934,0,-0.015,0.022,1.107,0.1,0.0,0.0,25.5,0,93808
2.937,0,-0.015,0.023,1.105,0.0,-0.0,-0.0,25.5,0,93818
2.938,0,-0.016,0.023,1.108,0.0,0.0,-0.0,25.5,0,93828
2.943,0,-0.015,0.021,1.106,0.0,0.1,-0.1,25.5,0,93838
2.946,0,-0.014,0.02,1.105,0.1,0.0,-0.1,25.5,0,93848
2.948,0,-0.016,0.024,1.105,0.1,0.1,-0.0,25.5,0,93858
2.950,0,-0.018,0.026,1.102,0.0,0.1,-0.0,25.5,0,93868
2.951,0,-0.016,0.022,1.102,0.0,0.1,-0.0,25.5,0,93878
2.953,0,-0.016,0.022,1.104,-0.0,-0.0,-0.0,25.5,0,93888
2.954,0,-0.016,0.022,1.104,0.1,0.0,0.0,25.5,0,93898
2.955,0,-0.015,0.021,1.106,0.0,0.0,-0.0,25.5,0,93908
2.956,0,-0.019,0.023,1.105,-0.0,-0.0,-0.0,25.5,0,93918
2.959,0,-0.016,0.023,1.107,-0.0,0.0,-0.0,25.5,0,93928
2.961,0,-0.017,0.024,1.107,0.0,0.0,-0.1,25.5,0,93938
2.963,0,-0.016,0.022,1.104,0.0,0.0,-0.1,25.5,0,93948
2.964,0,-0.014,0.023,1.108,-0.0,0.1,-0.1,25.5,0,93958
2.966,0,-0.015,0.025,1.105,0.0,0.0,-0.1,25.5,0,93968
2.969,0,-0.015,0.022,1.106,0.0,-0.0,-0.1,25.5,0,93978
2.971,0,-0.014,0.022,1.107,0.0,0.0,-0.0,25.5,0,93988
2.974,0,-0.016,0.024,1.107,0.1,-0.0,-0.0,25.5,0,93998
2.980,0,-0.014,0.022,1.107,-0.0,0.0,-0.1,25.5,0,94018
2.982,0,-0.015,0.023,1.107,0.0,0.0,-0.1,25.5,0,94028
2.984,0,-0.016,0.023,1.104,0.0,0.0,-0.1,25.5,0,94038
2.987,0,-0.016,0.02,1.104,0.0,-0.1,-0.0,25.5,0,94048
2.989,0,-0.016,0.025,1.104,0.0,0.0,-0.1,25.5,0,94058
2.992,0,-0.017,0.025,1.106,-0.0,-0.0,-0.1,25.5,0,94068
2.996,0,-0.017,0.024,1.104,-0.0,0.0,-0.0,25.5,0,94078
2.999,0,-0.017,0.022,1.104,0.0,-0.0,-0.1,25.5,0,94088
3.001,0,-0.019,0.024,1.107,-0.1,-0.0,-0.1,25.5,0,94098
3.003,0,-0.018,0.023,1.104,0.0,0.0,-0.0,25.5,0,94108
3.004,0,-0.019,0.023,1.109,0.0,-0.0,-0.0,25.5,0,94118
3.006,0,-0.015,0.023,1.102,0.0,-0.0,-0.1,25.5,0,94128
3.009,0,-0.019,0.02,1.107,0.0,0.0,-0.0,25.5,0,94138
3.013,0,-0.015,0.022,1.103,0.0,0.0,-0.1,25.5,0,94148
3.015,0,-0.019,0.022,1.1,0.0,0.1,-0.1,25.5,0,94158
3.018,0,-0.017,0.022,1.108,0.0,0.1,-0.1,25.5,0,94168
3.019,0,-0.017,0.024,1.105,0.0,0.1,0.0,25.5,0,94178
3.020,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94188
3.021,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94200
3.022,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94210
3.024,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94220
3.029,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94230
3.033,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94240
3.036,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94250
3.038,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94260
3.042,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94270
3.046,0,-0.015,0.025,1.107,0.0,0.0,-0.0,25.5,0,94280
3.048,0,-0.017,0.023,1.103,-0.0,-0.0,-0.0,25.5,0,94292
3.051,0,-0.017,0.024,1.108,-0.0,0.0,-0.0,25.5,0,94298
3.052,0,-0.019,0.023,1.109,0.0,0.0,-0.0,25.5,0,94308
3.054,0,-0.018,0.024,1.106,0.1,0.0,-0.0,25.5,0,94318
3.055,0,-0.019,0.023,1.104,0.0,-0.0,-0.0,25.5,0,94328
3.058,0,-0.018,0.023,1.109,-0.0,-0.0,-0.0,25.5,0,94338
3.060,0,-0.02,0.023,1.105,-0.0,-0.0,-0.0,25.5,0,94348
3.062,0,-0.015,0.022,1.104,-0.0,0.0,-0.1,25.5,0,94358
3.064,0,-0.019,0.025,1.104,-0.0,0.0,-0.1,25.5,0,94368
3.065,0,-0.017,0.022,1.108,-0.0,0.0,-0.1,25.5,0,94378
3.066,0,-0.019,0.024,1.105,0.0,-0.0,-0.0,25.5,0,94388
3.068,0,-0.015,0.023,1.109,0.1,0.0,0.0,25.5,0,94398
3.069,0,-0.015,0.025,1.105,0.0,-0.1,-0.0,25.5,0,94408
3.071,0,-0.015,0.024,1.106,-0.0,0.0,0.0,25.5,0,94418
3.072,0,-0.017,0.022,1.106,-0.0,0.0,0.0,25.5,0,94428
3.073,0,-0.014,0.023,1.106,0.0,0.0,0.0,25.5,0,94438
3.076,0,-0.017,0.022,1.108,0.0,-0.0,-0.0,25.5,0,94448
3.079,0,-0.017,0.023,1.107,0.0,-0.0,-0.0,25.5,0,94458
3.081,0,-0.017,0.022,1.105,0.0,0.0,-0.0,25.5,0,94468
3.082,0,-0.015,0.026,1.104,-0.0,-0.0,-0.0,25.5,0,94478
3.083,0,-0.015,0.022,1.106,0.0,-0.0,-0.1,25.5,0,94488
3.085,0,-0.015,0.023,1.103,0.0,-0.0,-0.1,25.5,0,94498
3.087,0,-0.017,0.023,1.106,-0.0,-0.0,0.0,25.5,0,94508
3.089,0,-0.018,0.023,1.101,0.0,0.0,0.0,25.5,0,94518
3.092,0,-0.015,0.021,1.105,0.0,0.0,0.0,25.5,0,94528
3.095,0,-0.018,0.026,1.107,0.0,0.0,-0.1,25.5,0,94538
3.098,0,-0.016,0.024,1.104,-0.0,0.0,-0.0,25.5,0,94548
3.100,0,-0.015,0.023,1.109,0.0,-0.0,-0.0,25.5,0,94558
3.103,0,-0.017,0.024,1.107,0.0,-0.0,-0.0,25.5,0,94568
3.106,0,-0.016,0.023,1.111,0.1,-0.0,-0.0,25.5,0,94578
3.110,0,-0.017,0.025,1.101,0.2,0.1,0.0,25.5,0,94588
3.113,0,-0.018,0.024,1.103,0.0,-0.0,0.0,25.5,0,94598
3.116,0,-0.019,0.025,1.106,0.1,0.0,-0.0,25.5,0,94608
3.118,0,-0.016,0.023,1.101,-0.0,-0.0,-0.0,25.5,0,94618
3.120,0,-0.015,0.024,1.109,-0.0,-0.0,-0.0,25.5,0,94628
3.121,0,-0.016,0.021,1.106,0.1,0.1,-0.1,25.5,0,94638
3.123,0,-0.016,0.023,1.109,-0.0,0.0,-0.0,25.5,0,94648
3.126,0,-0.016,0.022,1.104,0.1,0.0,-0.1,25.5,0,94658
3.128,0,-0.016,0.025,1.107,0.1,0.1,-0.0,25.5,0,94668
3.131,0,-0.016,0.025,1.103,0.1,0.1,-0.0,25.5,0,94678
3.132,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94688
3.134,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94700
3.135,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94710
3.136,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94720
3.138,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94730
3.140,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94740
3.141,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94750
3.143,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94760
3.146,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94770
3.148,0,-0.021,0.024,1.105,-0.0,-0.0,-0.0,25.5,0,94780
3.150,0,-0.017,0.025,1.107,0.1,0.0,-0.0,25.5,0,94792
3.152,0,-0.017,0.025,1.107,0.1,0.0,-0.0,25.5,0,94798
3.155,0,-0.018,0.023,1.107,0.0,0.1,-0.0,25.5,0,94808
3.158,0,-0.015,0.023,1.107,0.0,0.1,-0.1,25.5,0,94818
3.162,0,-0.016,0.023,1.103,0.1,0.1,-0.1,25.5,0,94828
3.164,0,-0.016,0.022,1.1,0.0,0.0,-0.0,25.5,0,94838
3.168,0,-0.017,0.026,1.101,-0.0,-0.0,0.0,25.5,0,94848
3.170,0,-0.015,0.021,1.108,-0.1,-0.0,-0.0,25.5,0,94858
3.172,0,-0.018,0.022,1.106,0.1,0.1,0.0,25.5,0,94868
3.174,0,-0.015,0.024,1.099,0.1,-0.1,-0.1,25.5,0,94878
3.176,0,-0.017,0.022,1.104,0.0,-0.0,-0.0,25.5,0,94888
